ID,Category,Prompt,Intent,Solution,Severity,Response Type,Keywords
1,Informational,What are the early signs of depression?,query_symptoms,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"what, are, the, early"
2,Support Seeking,I feel really overwhelmed with my semester exams.,stress_academic,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, really, overwhelmed"
3,Emotional Venting,I hate how my professor treats me in class!,vent_anger,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, hate, how, my"
4,Crisis,I don't see the point in waking up tomorrow.,crisis_suicidal,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i, don't, see, the"
5,Support Seeking,My anxiety is getting worse before presentations.,anxiety_academic,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"my, anxiety, is, getting"
6,Informational,How can I book a session with the campus counselor?,query_service,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"how, can, i, book"
7,Emotional Venting,I'm so tired of trying and failing at everything.,vent_fatigue,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i'm, so, tired, of"
8,Support Seeking,I feel lonely and I haven't made any friends here.,loneliness,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, lonely, and"
9,Crisis,I want to hurt myself to make the pain stop.,crisis_selfharm,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i, want, to, hurt"
10,Informational,What is the difference between panic attacks and anxiety?,query_education,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"what, is, the, difference"
11,Support Seeking,I just need someone to talk to right now please.,need_support,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, just, need, someone"
12,Emotional Venting,Why does everything have to be so difficult for me?,vent_frustration,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"why, does, everything, have"
13,Support Seeking,I can't sleep because I'm worrying about my grades.,insomnia_stress,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, can't, sleep, because"
14,Informational,Does the university insurance cover therapy?,query_cost,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"does, the, university, insurance"
15,Crisis,Please help I think I'm having a panic attack right now.,crisis_panic,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"please, help, i, think"
16,Support Seeking,I miss my family and I feel homesick.,homesickness,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, miss, my, family"
17,Emotional Venting,I just want to scream and break something.,vent_anger,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, just, want, to"
18,Informational,Are there any support groups for students?,query_resources,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"are, there, any, support"
19,Support Seeking,I feel like everyone is judging me constantly.,social_anxiety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, like, everyone"
20,Crisis,I have a plan to end my life tonight.,crisis_suicidal,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i, have, a, plan"
21,Emotional Venting,It's not fair that I have to deal with this much pressure.,vent_injustice,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"it's, not, fair, that"
22,Support Seeking,I don't know how to tell my parents I'm failing.,family_stress,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, don't, know, how"
23,Informational,What are the side effects of antidepressants?,query_medication,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"what, are, the, side"
24,Support Seeking,I feel empty inside and nothing makes me happy.,depression_symptoms,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, empty, inside"
25,Emotional Venting,Everyone ignores me and I'm sick of it.,vent_rejection,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"everyone, ignores, me, and"
26,Crisis,I'm standing on the roof and I'm scared.,crisis_immediate,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i'm, standing, on, the"
27,Support Seeking,Can you give me tips to calm down quickly?,coping_skills,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"can, you, give, me"
28,Informational,How do I know if I have ADHD?,query_diagnosis,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"how, do, i, know"
29,Emotional Venting,I can't believe my girlfriend broke up with me.,vent_breakup,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, can't, believe, my"
30,Support Seeking,I'm scared about the future and finding a job.,future_anxiety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, scared, about, the"
31,Informational,Is everything I say here confidential?,query_privacy,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"is, everything, i, say"
32,Support Seeking,I feel like a burden to everyone around me.,low_self_esteem,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, like, a"
